Nro / Fecha Ingreso,Publ. DO Extracto,Publ. DS / Notif. RES.,Empresa,Comuna,Direccion,Latitud,Longitud
71387 - 17/05/2019,-,- - -,WOM,Recoleta,Muñoz Gamero 308,"33°24""5.4","70°38""12.7"
71387 - 17/05/2019,-,- - -,WOM,Recoleta,Manuel Kant esq. Recoleta S/N,"33°23""55","70°38""34.7"
62692 - 04/05/2018,-,- - -,WILL,Recoleta,AV.PERU N°602,"33°25""32","70°38""24"
62692 - 04/05/2018,-,- - -,WILL,Recoleta,AV.PERU N°602,"33°25""32","70°38""24"
46155 - 03/04/2018,-,- - -,WOM,Recoleta,Maipo 238 Poste:716534,"33°24""26.1","70°38""9.2"
19103 - 08/02/2018,-,- - -,WOM,Recoleta,Estacion de Metro Cementerios L2 (Cementerio General),"33°24""49.7","70°38""37.8"
19103 - 08/02/2018,-,- - -,WOM,Recoleta,Metro Zapadores L2,"33°23""28.16","70°38""33.28"
19103 - 08/02/2018,-,- - -,WOM,Recoleta,Metro Einstein,"33°24""20.32","70°38""36.6"
19103 - 08/02/2018,-,- - -,WOM,Recoleta,Metro Cerro Blanco,"33°25""20.71","70°38""43.2"
19103 - 08/02/2018,-,- - -,WOM,Recoleta,Metro Patronato,"33°25""46.1","70°38""48.88"
25351 - 21/02/2018,-,- - -,WOM,Recoleta,Estacion de Metro Vespucio Norte L2,"33°22""51.2","70°38""45.1"
85773 - 09/05/2022,-,- - -,CLARO CHILE SPA,Recoleta,Bombero Ramón Cornejo N°0888,"33°24""8","70°37""21"
163509 - 11/12/2017,22/03/2018,- - -,WOM,Recoleta,Einstein,"33°24""13.7","70°38""58.6"
153166 - 23/08/2022,-,- - -,WOM,Recoleta,Enrrique Donoso fte. Esq. Bombero Rigotti (Poste: 637313),"33°23""54.85","70°37""56.6"
90547 - 19/06/2018,-,- - -,WOM,Recoleta,Antonia Lopez de Bello N°501,"33°25""52.38","70°38""46.09"
116089 - 23/06/2022,-,- - -,CLARO CHILE SPA,Recoleta,Bombero Ramón Cornejo  N°888,"33°24""8","70°37""21"
116089 - 23/06/2022,-,- - -,CLARO CHILE SPA,Recoleta,Bombero Ramón Cornejo  N°888,"33°24""8","70°37""21"
84134 - 05/06/2018,-,- - -,CLARO CHILE SPA,Recoleta,"Santa Maria con calle Bombero Fredes, CN  S/N","33°25""59.80008","70°38""46.01004"
182979 - 20/10/2022,-,- - -,WOM,Recoleta,Mario Neira nro. 612  (Poste: S/N),"33°23""15.9","70°38""32.8"
147588 - 25/08/2021,-,- - -,WOM,Recoleta,Av. Perú calzada poniente fte. Petrobrás.(Poste:173665)  S/N,"33°24""50.87","70°38""19.79"
199548 - 23/11/2022,-,- - -,WOM,Recoleta,Fischer fte. 236 (Poste: 300107) M S/N,"33°25""27.95","70°38""26.23"
95111 - 27/06/2018,-,- - -,CLARO CHILE SPA,Recoleta,Bombero Ramón Cornejo  N°888,"33°24""8","70°37""21"
95111 - 27/06/2018,-,- - -,CLARO CHILE SPA,Recoleta,Bombero Ramón Cornejo  N°888,"33°24""8","70°37""21"
84947 - 19/06/2019,-,- - -,ENTEL PCS,Recoleta,LOS PROPIOS S/N RENTE AL N°1060 ESQUINA FRUCTUOSO,"33°23""11.39","70°39""4.56"
169154 - 22/09/2022,-,- - -,WOM,Recoleta,Pernas fte. 1124 (Poste: 1608)  S/N,"33°22""56","70°39""15"
156808 - 15/09/2021,-,- - -,WOM,Recoleta,Zapadores calzada sur  fte. 1042 (Poste:721694)  S/N,"33°23""14.82","70°39""3.89"
156811 - 15/09/2021,-,- - -,WOM,Recoleta,Santa Alicia fte. 2851 (Poste: 688041)  S/N,"33°23""59","70°38""51.04"
33739 - 07/03/2019,-,- - -,WOM,Recoleta,Venezuela fte. 0797 (Poste: 618858)  S/N,"33°24""18.18","70°37""21.47"
48957 - 03/04/2019,-,- - -,WOM,Recoleta,Los Pamperos S/N  fte. 329(Poste: 284984),"33°24""37.33","70°38""18.6"
59802 - 24/04/2019,-,- - -,WOM,Recoleta,Urmeneta  S/Nfte. 757 (Poste:169008),"33°23""38.26","70°38""42"
83956 - 06/05/2022,-,- - -,WOM,Recoleta,PURISIMA N°114,"33°25""55.9","70°38""19.9"
149660 - 17/08/2022,-,- - -,WOM,Recoleta,Gilda esq Dorsal (Poste 709713),"33°23""46.1","70°38""55.14"
39813 - 10/03/2020,-,- - -,WOM,Recoleta,O'Higgins Fte. al N°1240 (Poste: 675017),"33°23""46.39","70°39""24.52"
116213 - 29/08/2019,-,- - -,WOM,Recoleta,Dominica N°561,"33°25""31","70°38""41.8"
57485 - 11/04/2023,-,- - -,WOM,Recoleta,"Loreto, esquina Bellavista N°22","33°26"".81","70°38""33.83"
138180 - 05/08/2021,-,- - -,WOM,Recoleta,Avenida Recoleta Esq. Olivos 620,"33°25""30.79","70°38""45.89"
150831 - 16/10/2018,-,- - -,WILL,Recoleta,Av. La Serena 776,"33°23""46","70°38""46"
150831 - 16/10/2018,-,- - -,WILL,Recoleta,Av. La Serena 776,"33°23""46","70°38""46"
135870 - 22/06/2020,-,- - -,ENTEL PCS,Recoleta,"Pasaje los Andes 3199, esquina Dorsal Recoleta","33°23""54.17","70°38""18.38"
259437 - 16/10/2020,-,- - -,ENTEL PCS,Recoleta,Sofía frenteal N°2633,"33°24""10.69","70°37""55.14"
135910 - 22/06/2020,-,- - -,WILL,Recoleta,"Pasaje los Andes  N°3199, esquina Dorsal Recoleta","33°23""54.17","70°38""18.38"
135910 - 22/06/2020,-,- - -,WILL,Recoleta,"Pasaje los Andes  N°3199, esquina Dorsal Recoleta","33°23""54.17","70°38""18.38"
208506 - 30/12/2021,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,AV. EL GUANACO 2531,"33°23""59","70°39""28"
208506 - 30/12/2021,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,AV. EL GUANACO 2531,"33°23""59","70°39""28"
288011 - 18/11/2020,-,19 - 12/03/2021,WOM,Recoleta,"Av. México N° 615, Recoleta, Metropolitana de Santiago","33°24""29","70°38""37"
288011 - 18/11/2020,-,19 - 12/03/2021,WOM,Recoleta,"Av. México N° 615, Recoleta, Metropolitana de Santiago","33°24""29","70°38""37"
159530 - 24/09/2021,-,- - -,WILL,Recoleta,Raúl Montt N°1046,"33°23""29.1","70°39""6"
159530 - 24/09/2021,-,- - -,WILL,Recoleta,Raúl Montt N°1046,"33°23""29.1","70°39""6"
196979 - 06/12/2021,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,JUAREZ CORTA 640,"33°25""26","70°39""2"
196979 - 06/12/2021,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,JUAREZ CORTA 640,"33°25""26","70°39""2"
184552 - 11/11/2021,-,- - -,WILL,Recoleta,AVDA. MEXICO 495,"33°24""18","70°38""54"
184552 - 11/11/2021,-,- - -,WILL,Recoleta,AVDA. MEXICO 495,"33°24""18","70°38""54"
287761 - 18/11/2020,-,76 - 01/10/2021,ENTEL TELEFONIA LOCAL S.A.,Recoleta,"LIRCAY 346 RECOLETA, COMUNA DE RECOLETA, REGIÓN METROPOLITANA DE SANTIAGO","33°24""21","70°38""17"
287761 - 18/11/2020,-,76 - 01/10/2021,ENTEL TELEFONIA LOCAL S.A.,Recoleta,"BELLAVISTA N: 524 - SANTIAGO, COMUNA DE RECOLETA, REGIÓN METROPOLITANA DE SANTIAGO","33°25""56.98992","70°38""51.20016"
287761 - 18/11/2020,-,76 - 01/10/2021,ENTEL TELEFONIA LOCAL S.A.,Recoleta,"SAN CRISTOBAL 352, COMUNA DE RECOLETA, REGIÓN METROPOLITANA DE SANTIAGO","33°25""16","70°38""27"
287761 - 18/11/2020,-,76 - 01/10/2021,ENTEL TELEFONIA LOCAL S.A.,Recoleta,"DARDIGNAC N° 62, COMUNA DE RECOLETA, REGIÓN METROPOLITANA DE SANTIAGO","33°26""1.2","70°38""15.2"
287761 - 18/11/2020,-,76 - 01/10/2021,ENTEL TELEFONIA LOCAL S.A.,Recoleta,"PUMA 1439 RECOLETA, COMUNA DE RECOLETA, REGIÓN METROPOLITANA DE SANTIAGO","33°24""54","70°38""23"
287761 - 18/11/2020,-,76 - 01/10/2021,ENTEL TELEFONIA LOCAL S.A.,Recoleta,"SANTO DUMONT 867, COMUNA DE RECOLETA, REGIÓN METROPOLITANA DE SANTIAGO","33°25""16","70°38""59.8"
287761 - 18/11/2020,-,76 - 01/10/2021,ENTEL TELEFONIA LOCAL S.A.,Recoleta,"AVDA. MEXICO 495 - RECOLETA, COMUNA DE RECOLETA, REGIÓN METROPOLITANA DE SANTIAGO","33°24""18","70°38""54"
2113 - 06/01/2022,-,- - -,WOM,Recoleta,"Av. Lircay Nº 352,(ex346) ","33°24""20","70°38""17"
288018 - 18/11/2020,-,32 - 07/10/2021,WOM,Recoleta,"Eusebio Lillo N° 321, Recoleta, Metropolitana De Santiago","33°25""42.88","70°38""34.45"
288018 - 18/11/2020,-,32 - 07/10/2021,WOM,Recoleta,"Calle ArteSanos N° 715, Recoleta, Metropolitana De Santiago","33°25""53.3","70°39"".1"
288018 - 18/11/2020,-,32 - 07/10/2021,WOM,Recoleta,"Av. Perú calzada poniente frente. Petrobrás.(Poste:173665) S/N, Recoleta, Metropolitana De Santiago","33°24""50.87","70°38""19.79"
288018 - 18/11/2020,-,32 - 07/10/2021,WOM,Recoleta,"Av. Recoleta N°951, 955, 957, 973, 983 / Alberto Figueroa N°547, Recoleta, Metropolitana De Santiago","33°25""15","70°38""39"
288018 - 18/11/2020,-,32 - 07/10/2021,WOM,Recoleta,"Nueva La Obra N°2470 ex 2670, Recoleta, Metropolitana De Santiago","33°24""0","70°39""16"
288018 - 18/11/2020,-,32 - 07/10/2021,WOM,Recoleta,"Calle Venezuela frente al N° 0797 (Poste: 618858), Recoleta, Metropolitana De Santiago","33°24""18.18","70°37""21.47"
288014 - 18/11/2020,-,78 - 07/10/2021,WOM,Recoleta,"Pio Nono N°178, Recoleta, Metropolitana De Santiago","33°25""56.9","70°38""10.6"
208239 - 30/12/2021,-,- - -,WILL,Recoleta,Dardignac N° 62,"33°26""1","70°38""15"
208239 - 30/12/2021,-,- - -,WILL,Recoleta,Dardignac N° 62,"33°26""1","70°38""15"
288014 - 18/11/2020,-,78 - 07/10/2021,WOM,Recoleta,"Calle Purisima N° 114, Recoleta, Metropolitana De Santiago","33°25""55.9","70°38""19.9"
288014 - 18/11/2020,-,78 - 07/10/2021,WOM,Recoleta,"Raul Montt N° 1046, Recoleta, Metropolitana De Santiago","33°23""30","70°39""6"
288014 - 18/11/2020,-,78 - 07/10/2021,WOM,Recoleta,"General Lastra Nº 743, Patio de Remates, Recoleta, Metropolitana De Santiago","33°25""41.30004","70°38""58.58988"
288014 - 18/11/2020,-,78 - 07/10/2021,WOM,Recoleta,"Av. Recoleta N°951, 955, 957, 973, 983 / Alberto Figueroa N°547, Recoleta, Metropolitana De Santiago","33°25""15","70°38""39"
288014 - 18/11/2020,-,78 - 07/10/2021,WOM,Recoleta,"Nueva La Obra N°2470 ex 2670, Recoleta, Metropolitana De Santiago","33°24""0","70°39""16"
288014 - 18/11/2020,-,78 - 07/10/2021,WOM,Recoleta,"Eusebio Lillo N° 321, Recoleta, Metropolitana De Santiago","33°25""42.88","70°38""34.45"
288014 - 18/11/2020,-,78 - 07/10/2021,WOM,Recoleta,"Dardignac N° 62, Recoleta, Metropolitana De Santiago","33°26""1","70°38""15"
287761 - 18/11/2020,-,76 - 01/10/2021,ENTEL TELEFONIA LOCAL S.A.,Recoleta,"DUQUE DE KENT 0974-0978 RECOLETA, COMUNA DE RECOLETA, REGIÓN METROPOLITANA DE SANTIAGO","33°24""9.02","70°37""11.4"
12651 - 26/01/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,AV. RAÚL MONTT 1046,"33°23""30","70°39""6"
12651 - 26/01/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,AV. RAÚL MONTT 1046,"33°23""30","70°39""6"
52101 - 24/03/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,Loreto N°22,"33°26""1.3","70°38""34.17"
52101 - 24/03/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,Loreto N°22,"33°26""1.3","70°38""34.17"
95113 - 23/05/2022,-,- - -,WOM,Recoleta,Duque de Kent 978,"33°24""8.59","70°37""11.54"
27840 - 18/02/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,Enrique donoso,"33°23""42","70°38""0"
27840 - 18/02/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,Enrique donoso,"33°23""42","70°38""0"
201302 - 15/12/2021,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,AV. AMERICO VESPUCIO 568,"33°23""4.44","70°38""23.44"
201302 - 15/12/2021,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,AV. AMERICO VESPUCIO 568,"33°23""4.44","70°38""23.44"
130095 - 09/10/2024,-,- - -,WOM,Recoleta,Estación de Metro Cementerios L2,"33°24""49.7","70°38""37.8"
181361 - 17/10/2022,-,- - -,WOM,Recoleta,Duque de Kent,"33°24""8.59","70°37""11.54"
191435 - 25/11/2021,-,- - -,WOM,Recoleta,PIO NONO,"33°25""56.9","70°38""10.6"
4747 - 11/01/2023,-,- - -,ENTEL PCS,Recoleta,Eusebio Lillo N° 526,"33°25""43.9","70°38""44.7"
80861 - 02/05/2022,-,- - -,WOM,Recoleta,Enrrique Donoso fte. Esq. Bombero Rigotti (Poste: 637313),"33°23""54.85","70°37""56.6"
61973 - 06/04/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,REINA DE CHILE 0820,"33°24""20","70°37""25"
61973 - 06/04/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,REINA DE CHILE 0820,"33°24""20","70°37""25"
105649 - 06/06/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,DUQUE DE KENT 0978 - 0974,"33°24""8.59","70°37""11.54"
69264 - 16/06/2025,-,- - -,WOM,Recoleta,Raul Montt  1046,"33°23""30","70°39""6"
41304 - 30/03/2026,-,- - -,CLARO CHILE SPA,Recoleta,Dávila Baeza N°700,"33°25""41.30004","70°38""58.58988"
99098 - 05/08/2024,-,- - -,CLARO CHILE SPA,Recoleta,Bellavista,"33°25""56.98992","70°38""51.20016"
99098 - 05/08/2024,-,- - -,CLARO CHILE SPA,Recoleta,Bellavista,"33°25""56.98992","70°38""51.20016"
73490 - 09/05/2023,-,- - -,VTR COMUNICACIONES SPA,Recoleta,Recoleta 3099,"33°23""52.28988","70°38""33.50004"
73490 - 09/05/2023,-,- - -,VTR COMUNICACIONES SPA,Recoleta,"El Guanaco 2645 (Ex 2621), Población Nueva Guanaco","33°23""57.90012","70°39""26.79012"
80767 - 22/05/2023,-,- - -,VTR COMUNICACIONES SPA,Recoleta,México,"33°24""24.4008","70°38""58.4988"
173468 - 29/09/2022,-,- - -,ENTEL PCS,Recoleta,Einstein Poniente,"33°24""21","70°38""39"
149087 - 17/08/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,Eusebio Lillo N°321-323,"33°25""42.88","70°38""34.45"
149087 - 17/08/2022,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,Eusebio Lillo N°321-323,"33°25""42.88","70°38""34.45"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Av. Einstein Poniente Nº 626,"33°24""21","70°38""39"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Raúl Montt Nº 1050,"33°23""30.08004","70°39""5.78988"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Bombero Ramón Cornejo N° 0888,"33°24""8","70°37""21"
49327 - 28/04/2025,-,- - -,WILL,Recoleta,Bombero Ramón Cornejo Nuñez,"33°24""2.8","70°37""33.6"
49327 - 28/04/2025,-,- - -,WILL,Recoleta,Bombero Ramón Cornejo Nuñez,"33°24""2.8","70°37""33.6"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,PURISIMA 280 RECOLETA,"33°25""50.34","70°38""18.46"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Santos Dumont N° 815,"33°25""16.3992","70°38""57.3"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,"Av. El Guanaco N° 2645 (Ex 2621), Población Nueva Guanaco","33°23""57.90012","70°39""26.79012"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Dávila Baeza N° 700,"33°25""41.30004","70°38""58.58988"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,El Manzano N° 377,"33°25""45.90012","70°38""43.40004"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Av. Venezuela 576,"33°24""11.26","70°37""30.79"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Avenida Recoleta 3099,"33°23""52.28988","70°38""33.50004"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,"Carlos Helo N° 919, (Ex-Río De Janeiro)","33°25""21.2","70°38""27.6"
93822 - 19/08/2025,-,- - -,CLARO CHILE SPA,Recoleta,El Salto,"33°24""33","70°38""8"
28178 - 12/03/2025,-,- - -,WILL,Recoleta,Eusebio Lillo N° 526,"33°25""43.9","70°38""44.7"
28178 - 12/03/2025,-,- - -,WILL,Recoleta,Eusebio Lillo N° 526,"33°25""43.9","70°38""44.7"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Av. Santa María Nº 217,"33°26"".98988","70°38""34.01016"
160862 - 20/12/2024,-,- - -,CLARO CHILE SPA,Recoleta,Venezuela N°0576,"33°24""10.8","70°37""30.7"
160862 - 20/12/2024,-,- - -,CLARO CHILE SPA,Recoleta,Venezuela N°0576,"33°24""10.8","70°37""30.7"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,"Dominica N° 185 , S/E Domínica Chilectra","33°25""38.70012","70°38""22.70004"
38251 - 20/03/2024,-,- - -,CLARO CHILE SPA,Recoleta,Av. México N° 785,"33°24""24.4008","70°38""58.4988"
107901 - 25/09/2025,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,Avenida Perú 1454,"33°24""54","70°38""21"
107901 - 25/09/2025,-,- - -,TELEFÓNICA MÓVILES CHILE S.A.,Recoleta,Avenida Perú 1454,"33°24""54","70°38""21"
73914 - 27/06/2025,-,- - -,WOM,Recoleta,Dorsal,"33°23""42","70°37""59"
76124 - 03/07/2025,-,- - -,WOM,Recoleta,Dorsal 289 (ex 489),"33°23""42","70°37""59"
75166 - 01/07/2025,-,- - -,CLARO CHILE SPA,Recoleta,Perú,"33°25""5.9988","70°38""21.3"
60141 - 04/05/2026,-,- - -,CLARO CHILE SPA,Recoleta,Bombero Ramón Cornejo N° 0888,"33°24""8","70°37""21"
